scaffold	start	end	mid	sites	lnL
WW_tarseq_419_arrow	66	4741	1699	50	-1501.15039
WW_tarseq_419_arrow	4746	6077	5328	50	-1512.20376
WW_tarseq_419_arrow	6079	7133	6564	50	-1208.38837
WW_tarseq_419_arrow	7425	10298	8709	50	-1045.09931
WW_tarseq_419_arrow	10324	14139	12208	50	-1103.03093
WW_tarseq_419_arrow	14155	18925	16283	50	-973.00859
WW_tarseq_419_arrow	19033	21752	20477	50	-1091.09940
WW_tarseq_419_arrow	21776	23939	22458	50	-1036.11177
WW_tarseq_419_arrow	23981	27470	25700	50	-924.44222
WW_tarseq_419_arrow	27483	31998	28843	50	-1135.44416
WW_tarseq_419_arrow	31999	34693	33391	50	-824.40729
WW_tarseq_419_arrow	34701	37646	35591	50	-1098.17854
WW_tarseq_419_arrow	37674	40338	39203	50	-1285.68672
WW_tarseq_419_arrow	40362	42088	41273	50	-1016.03094
WW_tarseq_419_arrow	42126	45488	43700	50	-1120.77680
WW_tarseq_419_arrow	45494	50719	48503	50	-958.46921
WW_tarseq_419_arrow	50772	52827	51845	50	-1513.25010
WW_tarseq_419_arrow	52842	54260	53503	50	-1174.07016
WW_tarseq_419_arrow	54264	57145	55787	50	-692.48258
WW_tarseq_419_arrow	57176	60527	58966	50	-826.99958
WW_tarseq_419_arrow	60529	62267	61555	50	-986.77493
WW_tarseq_419_arrow	62361	66203	64496	50	-1009.74698
WW_tarseq_419_arrow	66208	68817	67507	50	-1201.51056
WW_tarseq_419_arrow	68846	72267	70443	50	-1065.87800
WW_tarseq_419_arrow	72308	75983	74071	50	-1335.76074
WW_tarseq_419_arrow	76601	79709	78131	50	-931.52523
WW_tarseq_419_arrow	79730	84010	82280	50	-1035.89411
WW_tarseq_419_arrow	84147	86229	85408	50	-1121.85137
WW_tarseq_419_arrow	86241	89287	87824	50	-1171.81137
WW_tarseq_419_arrow	89302	92774	90576	50	-1441.73651
WW_tarseq_419_arrow	93037	101947	96329	50	-1153.51971
WW_tarseq_419_arrow	101950	106580	104047	50	-941.65678
WW_tarseq_419_arrow	106593	109257	107783	50	-1046.45463
WW_tarseq_419_arrow	109365	112233	110918	50	-1201.42705
WW_tarseq_419_arrow	112284	114888	113505	50	-1103.56853
WW_tarseq_419_arrow	114910	119484	117143	50	-1010.90133
WW_tarseq_419_arrow	119541	122798	120917	50	-1281.59206
WW_tarseq_419_arrow	122804	127574	125239	50	-1008.94064
WW_tarseq_419_arrow	127601	134793	131150	50	-1136.52575
WW_tarseq_419_arrow	134890	139759	136600	50	-952.98708
WW_tarseq_419_arrow	139813	151312	143313	50	-1329.14823
WW_tarseq_419_arrow	153125	158310	156011	50	-1096.41393
WW_tarseq_419_arrow	158389	163057	160982	50	-1228.24480
WW_tarseq_419_arrow	163088	169624	165504	50	-1073.48394
WW_tarseq_419_arrow	169652	174383	172380	50	-677.40664
WW_tarseq_419_arrow	174399	177678	176136	50	-1141.94576
WW_tarseq_419_arrow	177680	183884	180071	50	-750.50578
WW_tarseq_419_arrow	183902	188718	186048	50	-823.29430
WW_tarseq_419_arrow	189039	194587	192360	50	-1198.50225
WW_tarseq_419_arrow	194696	197104	195828	50	-1009.74003
WW_tarseq_419_arrow	197111	201221	199633	50	-639.23226
WW_tarseq_419_arrow	201276	203764	202646	50	-713.44797
WW_tarseq_419_arrow	203765	206349	205206	50	-782.14342
WW_tarseq_419_arrow	206370	209938	208188	50	-956.20761
WW_tarseq_419_arrow	209950	213733	211871	50	-1044.57541
WW_tarseq_419_arrow	213770	216377	215266	50	-1101.33619
WW_tarseq_419_arrow	216380	219383	217864	50	-892.45176
WW_tarseq_419_arrow	219398	223668	221838	50	-1208.50883
WW_tarseq_419_arrow	223678	227942	224974	50	-1084.08564
WW_tarseq_419_arrow	227943	231425	230062	50	-1049.87501
WW_tarseq_419_arrow	231497	233433	232365	50	-1421.51132
WW_tarseq_419_arrow	233438	237325	235678	50	-1081.28245
WW_tarseq_419_arrow	237327	241298	239351	50	-682.39167
WW_tarseq_419_arrow	241307	243973	242963	50	-806.85508
WW_tarseq_419_arrow	244036	246242	245329	50	-1391.17924
WW_tarseq_419_arrow	246263	249536	247777	50	-920.15784
WW_tarseq_419_arrow	249694	263594	253276	50	-1043.85921
WW_tarseq_419_arrow	263612	267983	265826	50	-1152.59102
WW_tarseq_419_arrow	268046	275263	270489	50	-1244.09578
WW_tarseq_419_arrow	275327	278969	277000	50	-914.66400
WW_tarseq_419_arrow	279017	282190	280575	50	-1035.05772
WW_tarseq_419_arrow	282206	284587	283237	50	-1194.38977
WW_tarseq_419_arrow	284588	289831	287507	50	-927.96232
WW_tarseq_419_arrow	289880	295428	293563	50	-1169.95257
WW_tarseq_419_arrow	295432	298301	296483	50	-1355.00831
WW_tarseq_419_arrow	298302	301197	299658	50	-971.08523
WW_tarseq_419_arrow	301291	303226	302355	50	-687.15957
WW_tarseq_419_arrow	303248	306630	305082	50	-821.35101
WW_tarseq_419_arrow	306631	309107	307913	50	-1003.14498
WW_tarseq_419_arrow	309171	312340	310751	50	-987.92886
WW_tarseq_419_arrow	312383	314637	313755	50	-1156.02689
WW_tarseq_419_arrow	314657	317221	315686	50	-874.21075
WW_tarseq_419_arrow	317280	320341	318577	50	-828.42136
WW_tarseq_419_arrow	320389	323058	321795	50	-947.57489
WW_tarseq_419_arrow	323081	325649	324255	50	-825.48642
WW_tarseq_419_arrow	325773	329764	328145	50	-667.34997
WW_tarseq_419_arrow	329769	332614	331177	50	-783.72311
WW_tarseq_419_arrow	332687	335079	333315	50	-907.13057
WW_tarseq_419_arrow	335223	337261	336305	50	-716.58937
WW_tarseq_419_arrow	337341	338889	338154	50	-1134.61874
WW_tarseq_419_arrow	339028	340592	339969	50	-896.89713
WW_tarseq_419_arrow	340602	343044	341759	50	-762.17235
WW_tarseq_419_arrow	343214	344545	343876	50	-682.51783
WW_tarseq_419_arrow	344549	347755	346318	50	-926.15044
WW_tarseq_419_arrow	347852	349748	348632	50	-1046.55669
WW_tarseq_419_arrow	349772	355587	353405	50	-578.27018
WW_tarseq_419_arrow	355593	357683	356575	50	-931.53672
WW_tarseq_419_arrow	357688	360337	358807	50	-944.06001
WW_tarseq_419_arrow	360417	362462	361462	50	-784.37295
WW_tarseq_419_arrow	362518	365418	364326	50	-1188.65657
WW_tarseq_419_arrow	365436	368522	366989	50	-686.51881
WW_tarseq_419_arrow	368591	372286	370420	50	-784.27579
WW_tarseq_419_arrow	372287	375489	373941	50	-1215.59596
WW_tarseq_419_arrow	375548	380263	378008	50	-951.04151
WW_tarseq_419_arrow	380630	383546	382086	50	-803.96909
WW_tarseq_419_arrow	383548	385030	384370	50	-1134.90359
WW_tarseq_419_arrow	385079	388744	386485	50	-1159.25778
WW_tarseq_419_arrow	388760	389964	389303	50	-1241.30346
WW_tarseq_419_arrow	390057	392888	391402	50	NA
WW_tarseq_419_arrow	392896	395311	394267	50	-1081.50859
WW_tarseq_419_arrow	395367	397717	396597	50	-1417.36701
WW_tarseq_419_arrow	397722	399769	398543	50	-1018.14102
WW_tarseq_419_arrow	399796	402716	400938	50	-976.60366
WW_tarseq_419_arrow	402747	407111	405185	50	-1012.84225
WW_tarseq_419_arrow	407512	412282	409889	50	-1211.13559
WW_tarseq_419_arrow	412314	415830	413949	50	-1347.97464
WW_tarseq_419_arrow	415872	420277	417610	50	-987.12779
WW_tarseq_419_arrow	420303	425886	422806	50	-1408.69515
WW_tarseq_419_arrow	425889	428795	427372	50	-1222.41678
WW_tarseq_419_arrow	428842	431005	429906	50	-901.63435
WW_tarseq_419_arrow	431025	432500	431731	50	-654.49010
WW_tarseq_419_arrow	432583	434310	433414	50	-789.15557
WW_tarseq_419_arrow	434334	438262	436432	50	-742.56835
WW_tarseq_419_arrow	438269	440278	439496	50	-906.38548
WW_tarseq_419_arrow	440289	442093	440740	50	NA
WW_tarseq_419_arrow	442102	443926	442964	50	-965.91064
WW_tarseq_419_arrow	443932	444773	444386	50	NA
WW_tarseq_419_arrow	444812	445697	445180	50	-1216.49677
WW_tarseq_419_arrow	445767	455062	452123	50	-1199.28219
WW_tarseq_419_arrow	455098	456845	455869	50	-843.66888
WW_tarseq_419_arrow	456858	458514	457546	50	-968.68823
WW_tarseq_419_arrow	458680	460912	459930	50	-1466.23482
WW_tarseq_419_arrow	460932	462774	461956	50	-587.87073
WW_tarseq_419_arrow	462803	466452	464632	50	-1120.09044
WW_tarseq_419_arrow	467084	469954	468423	50	-1105.35691
WW_tarseq_419_arrow	469972	471821	470920	50	-938.14300
WW_tarseq_419_arrow	471823	474011	472736	50	-1160.12313
WW_tarseq_419_arrow	474025	478548	476176	50	-865.50308
WW_tarseq_419_arrow	478633	482634	480243	50	-1135.53891
WW_tarseq_419_arrow	482897	488256	485794	50	-879.18962
WW_tarseq_419_arrow	488257	491569	489705	50	-917.10822
WW_tarseq_419_arrow	491629	494048	492969	50	-917.39974
WW_tarseq_419_arrow	494050	496812	495313	50	-996.44663
WW_tarseq_419_arrow	496818	507878	498785	50	-986.33542
WW_tarseq_419_arrow	508306	512669	510432	50	-869.90701
WW_tarseq_419_arrow	512701	515577	514108	50	-971.95154
WW_tarseq_419_arrow	515581	519157	517697	50	-861.00176
WW_tarseq_419_arrow	519220	522958	520630	50	-819.98722
WW_tarseq_419_arrow	522961	526211	524828	50	-844.66530
WW_tarseq_419_arrow	526251	528464	527439	50	-787.83179
WW_tarseq_419_arrow	528480	531692	529481	50	-683.87090
WW_tarseq_419_arrow	531770	534510	533084	50	-617.00236
WW_tarseq_419_arrow	534563	537904	536139	50	-897.72799
WW_tarseq_419_arrow	538009	539788	538867	50	-1037.16605
WW_tarseq_419_arrow	539827	542555	541295	50	-1273.70335
WW_tarseq_419_arrow	542578	546367	545056	50	-1023.47797
WW_tarseq_419_arrow	546403	548978	547559	50	-924.74644
WW_tarseq_419_arrow	549015	551666	550498	50	-903.08333
WW_tarseq_419_arrow	551677	553947	552892	50	-877.78096
WW_tarseq_419_arrow	554016	557888	555698	50	-1014.55355
WW_tarseq_419_arrow	557918	562585	560772	50	-789.02791
WW_tarseq_419_arrow	563172	567339	565673	50	-892.35725
WW_tarseq_419_arrow	567396	570507	568731	50	-1096.82398
WW_tarseq_419_arrow	570573	573435	571916	50	-1193.84120
WW_tarseq_419_arrow	573436	575938	574837	50	-1421.13641
WW_tarseq_419_arrow	575942	581468	577343	50	-1077.85115
WW_tarseq_419_arrow	581660	585814	583826	50	-830.72276
WW_tarseq_419_arrow	585869	588819	587720	50	-1168.38134
WW_tarseq_419_arrow	588826	592747	590889	50	-1072.00503
WW_tarseq_419_arrow	592836	596238	594618	50	-933.13341
WW_tarseq_419_arrow	596246	605454	603042	50	-902.11873
WW_tarseq_419_arrow	605469	609573	607569	50	-873.33521
WW_tarseq_419_arrow	610035	615509	612790	50	-872.18900
WW_tarseq_419_arrow	615515	617688	616633	50	-800.54693
WW_tarseq_419_arrow	617696	620757	618920	50	-821.82625
WW_tarseq_419_arrow	620772	624185	622396	50	-862.17234
WW_tarseq_419_arrow	624250	627700	626250	50	-1011.09412
WW_tarseq_419_arrow	627711	629917	628769	50	-809.64770
WW_tarseq_419_arrow	629935	632698	630925	50	-1166.06728
WW_tarseq_419_arrow	632700	636027	634707	50	-1344.46027
WW_tarseq_419_arrow	636386	639442	637929	50	-984.47604
WW_tarseq_419_arrow	639618	650183	643051	50	-1074.21215
WW_tarseq_419_arrow	650186	654358	651888	50	-1096.96338
WW_tarseq_419_arrow	654366	657222	655656	50	-787.94617
WW_tarseq_419_arrow	657350	659531	658428	50	-927.90906
WW_tarseq_419_arrow	659563	662104	661221	50	-515.02150
WW_tarseq_419_arrow	662143	665985	664550	50	-843.63029
WW_tarseq_419_arrow	665994	667672	666921	50	-663.44976
WW_tarseq_419_arrow	667690	669688	668583	50	-1028.29284
